2024-07-07 10:17:54.512  INFO 23865 --- [http-nio-8082-exec-10] c.e.demo.controllers.ItemController      : create Item successfully: item = com.example.demo.model.persistence.Item@22
2024-07-07 10:22:15.196  INFO 23865 --- [Thread-3] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2024-07-07 10:22:15.198  INFO 23865 --- [Thread-3] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2024-07-07 10:22:15.200  INFO 23865 --- [Thread-3] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2024-07-07 10:22:15.202  INFO 23865 --- [Thread-3] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
2024-07-07 10:22:17.842  INFO 24005 --- [main] com.example.demo.SareetaApplication      : Starting SareetaApplication on Tus-MacBook-Pro.local with PID 24005 (started by tunguyen in /Users/tunguyen/Learning Place/Udacity/JavaDev/FinalProject/udacity-ecommerce/starter_code)
2024-07-07 10:22:17.844  INFO 24005 --- [main] com.example.demo.SareetaApplication      : No active profile set, falling back to default profiles: default
2024-07-07 10:22:18.319  INFO 24005 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data repositories in DEFAULT mode.
2024-07-07 10:22:18.395  INFO 24005 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 65ms. Found 4 repository interfaces.
2024-07-07 10:22:18.861  INFO 24005 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$7093339] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2024-07-07 10:22:19.133  INFO 24005 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8082 (http)
2024-07-07 10:22:19.165  INFO 24005 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-07-07 10:22:19.166  INFO 24005 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.19]
2024-07-07 10:22:19.280  INFO 24005 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-07-07 10:22:19.281  INFO 24005 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 1399 ms
2024-07-07 10:22:19.441  INFO 24005 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2024-07-07 10:22:19.605  INFO 24005 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2024-07-07 10:22:19.656  INFO 24005 --- [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2024-07-07 10:22:19.723  INFO 24005 --- [main] org.hibernate.Version                    : HHH000412: Hibernate Core {5.3.10.Final}
2024-07-07 10:22:19.724  INFO 24005 --- [main] org.hibernate.cfg.Environment            : HHH000206: hibernate.properties not found
2024-07-07 10:22:19.860  INFO 24005 --- [main] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2024-07-07 10:22:20.023  INFO 24005 --- [main] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2024-07-07 10:22:20.690  INFO 24005 --- [main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-07-07 10:22:21.221  WARN 24005 --- [main] aWebConfiguration$JpaWebMvcConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-07-07 10:22:21.277  INFO 24005 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@23e0c200, org.springframework.security.web.context.SecurityContextPersistenceFilter@49741274, org.springframework.security.web.header.HeaderWriterFilter@25109d84, org.springframework.web.filter.CorsFilter@25d23478, org.springframework.security.web.authentication.logout.LogoutFilter@7acfcfc4, com.example.demo.security.JWTAuthenticationFilter@677c2820, com.example.demo.security.JWTAuthenticationVerificationFilter@39c1e7b7, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3e5b2630, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@656302c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1c14d24d, org.springframework.security.web.session.SessionManagementFilter@6963b0bd, org.springframework.security.web.access.ExceptionTranslationFilter@7b7b1448, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6baee63b]
2024-07-07 10:22:21.372  INFO 24005 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
